Column,Null?,Type
LOCATION_ID,NOT NULL,"NUMBER(4,0)"
STREET_ADDRESS, - ,VARCHAR2(40)
POSTAL_CODE, - ,VARCHAR2(12)
CITY,NOT NULL,VARCHAR2(30)
STATE_PROVINCE, - ,VARCHAR2(25)
COUNTRY_ID, - ,CHAR(2)
